r,specie,t,I,Pn
1,aroeirinha,14.96105317,0,-0.368069121
1,aroeirinha,14.96105317,20,0.251510928
1,aroeirinha,14.96105317,40,0.822738508
1,aroeirinha,14.96105317,60,1.335974171
1,aroeirinha,14.96105317,80,1.617549218
1,aroeirinha,14.96105317,100,2.050044527
1,aroeirinha,14.96105317,200,3.485756304
1,aroeirinha,14.96105317,400,5.029210121
1,aroeirinha,14.96105317,600,5.767840473
1,aroeirinha,14.96105317,800,6.24515769
1,aroeirinha,14.96105317,1000,6.617584399
1,aroeirinha,14.96105317,1250,6.846464914
1,aroeirinha,14.96105317,1500,7.024022043
1,aroeirinha,14.96105317,2000,7.738345128
2,aroeirinha,14.98594379,0,-0.297474197
2,aroeirinha,14.98594379,20,0.486717462
2,aroeirinha,14.98594379,40,1.179870626
2,aroeirinha,14.98594379,60,1.686562565
2,aroeirinha,14.98594379,80,2.240718444
2,aroeirinha,14.98594379,100,2.583814255
2,aroeirinha,14.98594379,200,4.266461135
2,aroeirinha,14.98594379,400,5.525404667
2,aroeirinha,14.98594379,600,5.981897803
2,aroeirinha,14.98594379,800,6.035804362
2,aroeirinha,14.98594379,1000,6.288197285
2,aroeirinha,14.98594379,1250,6.604727422
2,aroeirinha,14.98594379,1500,6.630194172
2,aroeirinha,14.98594379,2000,7.118226022
3,aroeirinha,15.04776989,0,-0.328096641
3,aroeirinha,15.04776989,20,0.387521451
3,aroeirinha,15.04776989,40,0.995502471
3,aroeirinha,15.04776989,60,1.55962956
3,aroeirinha,15.04776989,80,1.918547841
3,aroeirinha,15.04776989,100,2.304615521
3,aroeirinha,15.04776989,200,3.717292421
3,aroeirinha,15.04776989,400,4.816140483
3,aroeirinha,15.04776989,600,5.152420611
3,aroeirinha,15.04776989,800,5.436006121
3,aroeirinha,15.04776989,1000,5.560275122
3,aroeirinha,15.04776989,1250,5.862217886
3,aroeirinha,15.04776989,1500,5.983911538
3,aroeirinha,15.04776989,2000,6.327382309
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
4,aroeirinha,NAN,NAN,NAN
1,aroeirinha,19.96836472,0,-0.634899652
